song_name,genre,song_popularity,song_duration_ms,acousticness,danceability,energy,key,loudness,speechiness,tempo,audio_valence,loudness_energy,energy_duration
Over The Mountain,rock,3,271400,4.95e-05,0.4629999999999999,0.926,5,-3.563,0.12,131.129,0.501,,
Armed And Ready - 2008 Remastered Version,rock,4,248333,0.0038799999999999,0.33,0.963,9,-5.509,0.106,171.59,0.7340000000000001,,
Addicted To That Rush,rock,4,284973,0.0537,0.46,0.974,2,-5.095,0.156,112.684,0.444,,
I Wanna Be Somebody,rock,5,223533,0.00081,0.296,0.83,1,-7.051,0.0505,164.12400000000002,0.478,,
Rock the Night,rock,7,247493,0.036,0.562,0.965,4,-2.789,0.0613,105.305,0.39,,
Jessie's Girl,rock,9,195933,0.113,0.7040000000000001,0.77,2,-8.843,0.0526,131.57,0.8390000000000001,,
All Apologies,rock,10,157733,0.91,0.743,0.0262,4,-27.691,0.0363,100.053,0.3329999999999999,,
I'll Be There For You/You're All I Need To Get By,rock,10,307506,0.144,0.6970000000000001,0.828,1,-3.733,0.0963,95.052,0.555,,
We Belong - Single Version,pop,12,222320,0.415,0.705,0.59,5,-5.2010000000000005,0.0407,135.17600000000002,0.344,,
In Your Eyes,pop,13,329013,0.0623,0.636,0.7240000000000001,11,-7.327999999999999,0.0367,89.319,0.632,,
Careless Whisper,pop,13,300093,0.144,0.575,0.634,2,-8.822000000000001,0.0348,153.217,0.79,,
Glycerine - Acoustic,rock,14,212893,0.56,0.648,0.278,11,-9.25,0.037,118.827,0.303,,
Heaven,rock,14,243666,0.0596,0.34,0.412,9,-13.727,0.0268,69.857,0.402,,
Alive,rock,15,341160,0.00636,0.325,0.83,2,-7.615,0.0415,74.992,0.56,,
Working for the Weekend,rock,15,220706,0.027,0.526,0.924,7,-5.591,0.0391,147.28,0.7929999999999999,,
Here I Go Again 87 - 2007 Remastered Version,rock,15,270160,0.207,0.39,0.898,7,-4.089,0.045,90.703,0.204,,
Nobody's Fool,rock,16,287400,0.0478,0.367,0.445,9,-13.615,0.0286,67.197,0.149,,
Eternal Flame,pop,63,235666,0.64,0.521,0.233,7,-13.683,0.0254,78.92699999999999,0.409,,
It Was A Good Day,pop,64,260306,0.135,0.78,0.754,5,-5.377000000000001,0.0949,82.395,0.81,,
The Flame,metal,64,338800,0.513,0.629,0.581,4,-11.856,0.027,97.074,0.359,,
Love Will Tear Us Apart - 2010 Remastered Version,hip hop,64,204621,0.000989,0.525,0.902,2,-8.662,0.0368,146.83,0.907,,
Nothing's Gonna Change My Love For You,pop,64,242678,0.764,0.5529999999999999,0.614,1,-5.098,0.0306,136.628,0.345,,
I'll Be Loving You (Forever),pop,64,263933,0.282,0.598,0.282,11,-17.227,0.0256,134.70600000000002,0.305,,
You Make My Dreams,post-punk,64,190706,0.261,0.737,0.569,5,-6.702000000000001,0.0553,167.196,0.912,,
Living After Midnight,hip hop,64,210133,0.0136,0.61,0.8240000000000001,4,-6.046,0.0534,134.99200000000002,0.8190000000000001,,
Informer,grunge,64,268910,0.0984,0.763,0.742,6,-10.975,0.188,98.145,0.483,,
Zombie - Acoustic Version,hard rock,64,241560,0.00414,0.469,0.427,4,-7.954,0.0241,84.053,0.0821,,
I Don't Want to Miss a Thing,pop,78,298760,0.165,0.3829999999999999,0.662,2,-5.162000000000001,0.0333,121.154,0.138,,
Beat It - Single Version,rock,79,258040,0.0491,0.779,0.867,3,-3.704,0.0457,138.858,0.915,,
Should I Stay or Should I Go - Remastered,rock,79,188986,0.079,0.742,0.833,2,-6.462999999999999,0.115,113.375,0.816,,
Don't Stop Believin',rock,79,250986,0.127,0.5,0.748,4,-9.072,0.0363,118.852,0.514,,
Kryptonite,pop punk,79,233933,0.00664,0.545,0.865,11,-5.707999999999999,0.0286,99.01,0.5429999999999999,,
All The Small Things,hip hop,80,168000,0.0122,0.439,0.8909999999999999,0,-4.763999999999999,0.057,148.599,0.695,,
Summer Of '69,pop,80,216053,0.0183,0.508,0.8340000000000001,2,-6.205,0.0386,139.131,0.774,,
No Diggity,hard rock,81,304600,0.303,0.868,0.6459999999999999,1,-4.674,0.288,88.641,0.67,,
Thunderstruck,hip hop,82,292880,0.000147,0.501,0.889,4,-5.175,0.0364,133.519,0.257,,
Gangsta's Paradise,hard rock,82,240693,0.0655,0.647,0.514,8,-10.05,0.0593,79.97399999999999,0.387,,
Everybody Wants To Rule The World,new wave,82,251488,0.372,0.638,0.8,7,-12.077,0.0572,112.055,0.569,,
Sweet Dreams (Are Made of This) - Remastered,pop,83,216933,0.2269999999999999,0.6920000000000001,0.711,0,-7.497999999999999,0.0317,125.135,0.875,,
Billie Jean,pop,84,293826,0.0236,0.92,0.654,11,-3.051,0.0401,117.046,0.847,,
Take On Me,pop rock,85,225280,0.018,0.573,0.902,6,-7.638,0.054,84.412,0.8759999999999999,,
Africa,soft rock,86,295893,0.257,0.6709999999999999,0.373,9,-18.064,0.0323,92.717,0.732,,
